# Created with https://www.mockaroo.com.

id,city,date,grocery,value01,amount
374,Kariya,2001-04-30,Sping Loaded Cup Dispenser,-93682.71,913004
375,Buzuluk,2001-01-27,Flower - Commercial Spider,-52287.22,909020
376,Sémé,1982-02-26,Coriander - Seed,-22232.94,675396
377,Paris 06,1915-02-07,Curry Paste - Madras,-49750.75,-810796
378,Qingxi,1911-01-22,Pasta - Fusili Tri - Coloured,-57053.27,-836396
379,Yangong,1968-06-15,"Appetizer - Spring Roll, Veg",-73654.64,482273
380,Ervedosa do Douro,1904-06-21,"Wine - Cahors Ac 2000, Clos",-40631.7,612817
381,Krajan Tengah,1911-08-08,Evaporated Milk - Skim,75819.74,-34699
382,Sumbermanggis,1977-04-09,Apricots Fresh,-74531.6,346638
383,Mangli,1996-04-22,Muffin Mix - Blueberry,-52523.58,-888591
384,Santol,1998-08-26,Wine - Coteaux Du Tricastin Ac,-66047.24,-948592
385,Jinzhou,1985-03-02,Appetizer - Mango Chevre,-40163.24,-490947
386,Atlanta,1917-04-23,Sauce - Sesame Thai Dressing,-9650.77,727991
387,San Isidro,1916-07-11,Wine - Balbach Riverside,-12443.5,-648633
388,Chicago,1902-06-14,Bok Choy - Baby,-54611.07,-818615
389,Huangshi,1917-12-05,Tea - Decaf Lipton,-50672.64,-520821
390,Xinhui,1931-06-27,Veal Inside - Provimi,-92522.69,-244439
391,Zhangbei,1968-08-24,Cinnamon - Stick,82625.65,106202
392,Huacao,1919-09-04,Towel Dispenser,-29774.35,490503
393,Meaux,2019-03-21,Cookie Chocolate Chip With,-36531.16,-349675
394,Lam Sonthi,1924-11-23,Chips Potato All Dressed - 43g,51397.48,-165499
395,Bajram Curri,1934-12-05,Maple Syrup,-36563.97,991815
396,Vilémov,1957-11-07,Pork - Back Ribs,92410.68,-147285
397,Pácora,1918-07-19,"Bread - Crumbs, Bulk",-34473.3,-932604
398,Zhangting,1918-05-05,Clams - Bay,-52715.57,137799
399,Kanzaki,2002-12-29,"Wine - Red, Wolf Blass, Yellow",15908.27,-529524
400,Guishan,1934-08-29,Chambord Royal,-94879.14,-240928
401,Hanjiaji,2000-12-07,Syrup - Monin - Passion Fruit,-97283.06,832264
402,Storvik,1922-01-25,"Bag - Bread, White, Plain",-36814.42,-312361
403,Qusar,1983-12-07,"Thyme - Lemon, Fresh",36509.27,381295
404,Manding,1915-01-31,Ice Cream - Turtles Stick Bar,41591.92,-306559
405,Meaux,1913-09-17,"Bread - Bagels, Mini",-30898.85,-269388
406,Wañgan,1948-04-28,Carbonated Water - Wildberry,27110.17,-3737
407,Ardazubre,1970-04-05,Avocado,52781.99,-368283
408,Lyon,1935-12-19,Marjoram - Fresh,17168.14,411151
409,Mekele,1985-08-05,Buffalo - Tenderloin,49212.19,225719
410,Tucuruí,1970-12-07,"Water - Spring Water, 355 Ml",35680.65,-471426
411,Sipoholon,1929-08-09,"Wine - White, Pinot Grigio",45980.34,851817
412,Karangtalun,1918-10-23,"Chilli Paste, Ginger Garlic",16876.06,212899
413,Morro do Chapéu,1996-05-16,Peach - Fresh,-70381.05,878937
414,Batanovtsi,1920-08-22,Banana - Leaves,-80351.18,-412543
415,Kwangju,1989-02-02,"Veal - Tenderloin, Untrimmed",-95821.36,-451087
416,Stockholm,1907-11-08,Piping Jelly - All Colours,-67190.4,485561
417,Qīr Moāv,1918-11-06,"Syrup - Monin, Swiss Choclate",37929.03,36448
418,Qaşr al Farāfirah,1958-06-19,Danishes - Mini Raspberry,-64030.74,-212457
419,Yangsan,2011-08-26,"Pasta - Tortellini, Fresh",-9005.48,-975336
420,Laironja,1949-06-25,Glycerine,79784.42,120771
421,Krian,1955-12-17,Snapple Lemon Tea,94275.55,-6993
422,Taphan Hin,2002-06-05,Galliano,6573.84,-343025
423,Codajás,2001-03-08,Crab Brie In Phyllo,-38291.9,142544
424,Petrovo-Dal’neye,1906-12-11,Veal - Osso Bucco,-19008.94,122096
425,Güira de Melena,1937-04-02,Oxtail - Cut,-65762.07,-779572
426,Palmital,1931-10-11,Jicama,27335.07,317266
427,Da’an,1980-01-08,Sultanas,-73711.53,208885
428,Gostyń,1909-12-02,Salt And Pepper Mix - Black,-30990.64,731354
429,Camacha,1944-01-23,"Wine - Red, Gallo, Merlot",44441.38,-757708
430,Folques,2019-07-23,"Chilli Paste, Hot Sambal Oelek",99312.04,-339645
431,Gongrong,1949-11-29,Muffin - Blueberry Individual,72917.46,-470276
432,Gantang,1910-07-05,Cookie Trail Mix,-91795.49,767420
433,San Francisco,1973-12-25,"Coffee - Beans, Whole",46945.55,-323907
434,La Tebaida,1945-07-19,Spinach - Baby,57250.22,479614
435,Hampton,2011-08-12,Catfish - Fillets,44843.05,658194
436,Ulimonong,1922-09-04,"Coconut - Creamed, Pure",-15477.83,8499
437,Novyy,1976-07-26,Whmis Spray Bottle Graduated,50951.27,-22417
438,Béreldange,1967-11-21,Trueblue - Blueberry,-82459.27,-504900
439,Anju,1914-03-10,Oil - Peanut,17629.36,-326542
440,Chengjiao,1964-06-06,Chicken - Leg / Back Attach,-14591.2,-325986
441,Bay Roberts,1908-05-11,Savory,-36105.88,875003
442,Huaqiao,1950-12-19,Soup - Campbells Mac N Cheese,-57986.14,-875986
443,Sarae,1996-12-12,"Pasta - Elbows, Macaroni, Dry",36421.89,-526346
444,Weston,1925-04-16,Wine - Muscadet Sur Lie,37921.48,-212119
445,Chodová Planá,1920-04-05,Sachet,21649.03,-593400
446,Yangqiao,2006-08-27,Puff Pastry - Slab,-14860.57,-796935
447,Al Jadīd,1991-08-20,"Rosemary - Primerba, Paste",45563.18,839522
448,Al Ḩāḑir,1983-08-03,Sloe Gin - Mcguinness,91369.21,-144594
449,Huimin,1944-03-25,Crackers - Soda / Saltins,-93928.55,-891415
450,Mabusag,1967-10-05,Steampan - Foil,-96925.05,-502242
451,Piskavica,1921-12-03,Cherries - Fresh,-73616.71,416040
452,Xiehu,1969-07-04,"Pasta - Elbows, Macaroni, Dry",-73961.11,-985555
453,Shahumyan,1911-05-31,Carbonated Water - Peach,87402.82,-598875
454,Viamão,2006-11-30,"Pork - Loin, Center Cut",6117.06,-756509
455,Dashiju,1986-02-12,Pork Loin Bine - In Frenched,55643.69,-423326
456,Cerro Corá,1928-08-04,Danishes - Mini Cheese,-24847.32,735402
457,Pai do Vento,1933-10-02,Beans - Fava Fresh,91506.12,228150
458,Macinhata da Seixa,1961-06-18,Cucumber - Pickling Ontario,4347.93,437631
459,Al Fākhūrah,2012-09-12,Bagel - Ched Chs Presliced,-20077.61,-656663
460,Yuli,2015-10-17,Ice Cream Bar - Hageen Daz To,28488.63,-907522
461,Mýto,1967-03-26,"Nut - Pecan, Pieces",-89416.45,591635
462,Milano,1984-10-27,Bag - Regular Kraft 20 Lb,10291.06,-251469
463,Surin,1992-12-01,Wine - Fat Bastard Merlot,-4060.09,-7141
464,North Vancouver,1971-09-12,"Potatoes - Yukon Gold, 80 Ct",69312.54,86254
465,Sumy,1981-02-22,Water - Green Tea Refresher,-61668.44,361713
466,Kangmei,2019-02-04,Cheese - Ermite Bleu,38347.73,674465
467,Jankomir,1989-07-24,Mortadella,10579.4,219905
468,Luoluopu,1941-07-10,"Ranchero - Primerba, Paste",-60488.54,-54133
469,Iberia,1918-02-20,Coconut Milk - Unsweetened,9047.61,-458620
470,Kolyubakino,1941-06-15,Wine - Ruffino Chianti,75879.85,-407988
471,Évodoula,2006-08-22,Potato - Sweet,48456.38,314687
472,Paciran,2018-03-12,Pepper - Gypsy Pepper,-61991.21,347338
473,Cumedak,1905-08-06,Nougat - Paste / Cream,-39323.43,-818885
474,Melchor de Mencos,1949-04-09,Tilapia - Fillets,88642.87,-770195
475,Espírito Santo do Pinhal,1962-09-10,Pastry - Cherry Danish - Mini,-39281.17,-691645
476,Duraykīsh,1996-06-24,Ocean Spray - Kiwi Strawberry,-88590.42,-382214
477,Waiwejak,1944-10-02,Sherbet - Raspberry,-24836.7,-48260
478,Andradina,1979-10-15,Wine - Ej Gallo Sierra Valley,-24427.8,54876
479,Habartov,1981-09-22,"Pasta - Canelloni, Single Serve",61593.25,-351039
480,Lingmen,1984-02-14,Mushroom - King Eryingii,-35745.82,-303872
481,Banghai,1911-08-04,"Beans - Navy, Dry",59744.97,-181667
482,Bherāmāra,1908-07-24,Grouper - Fresh,-30364.34,-191409
483,Saint-Denis,1941-08-19,Green Scrubbie Pad H.duty,98985.03,636475
484,Xiaochi,1944-11-25,Cheese - Cottage Cheese,-88169.09,-250659
485,Brahin,1930-08-22,Bread - French Baquette,-82035.23,439126
486,Santa Teresa,1907-01-18,Cake - Dulce De Leche,-66216.7,267086
487,Auch,1924-10-02,Lid - 16 Oz And 32 Oz,96318.03,-728505
488,Daur,1995-10-13,Vector Energy Bar,91583.07,-454311
489,Luoqi,1963-01-01,Gelatine Leaves - Envelopes,18493.89,812985
490,Kombandaru,1975-02-11,Dome Lid Clear P92008h,-58913.65,296451
491,Castleknock,1929-02-17,Wine - Rioja Campo Viejo,75259.47,-938285
492,Kadujangkung,1929-04-03,Veal - Striploin,68968.76,-632625
493,Preserje pri Radomljah,2014-10-05,Burger Veggie,59011.89,23459
494,Ngluweng Dua,1976-04-22,Muffin Mix - Oatmeal,-44520.19,-391580
495,Bengga,1995-09-21,Silicone Parch. 16.3x24.3,-6881.46,-85144
496,Al Maḩallah al Kubrá,1981-12-10,Table Cloth 120 Round White,-14412.07,387068
497,Uchaly,1908-01-14,Lettuce - Red Leaf,32248.76,435611
498,Apongo,1949-09-14,"Squash - Pattypan, Yellow",-19101.23,458122
499,Fukou,1902-10-04,Pastry - French Mini Assorted,-36576.62,-158704
500,Dobre Miasto,2006-10-07,Coffee - Almond Amaretto,-25492.82,-517226
501,Coyaima,1988-08-04,"Tomatoes - Vine Ripe, Yellow",-81900.07,481450
502,Joal-Fadiout,1969-07-11,Buffalo - Striploin,20645.16,941626
503,Falun,2003-04-03,Chicken - Soup Base,-50118.6,-460158
504,Jalasenga,1925-02-04,"Lid - High Heat, Super Clear",-35535.54,687664
505,Antas,1968-12-20,"Juice - Grapefruit, 341 Ml",94408.55,-356267
506,Birmingham,1980-08-10,Mince Meat - Filling,53241.27,-428379
507,Carcassonne,1929-12-14,Bandage - Fexible 1x3,-88529.68,230702
508,Bacun,1980-04-28,Nantucket - 518ml,17012.51,144179
509,Novospasskoye,1922-02-22,Tea - English Breakfast,-44172.62,835152
510,Bicas,1907-08-20,Flavouring - Rum,-92054.59,317637
511,El Cairo,1971-01-24,Peach - Halves,71834.16,-172988
512,Diekirch,1966-08-15,Yeast Dry - Fermipan,70534.48,932847
513,Duas Igrejas,1952-04-27,"Stock - Veal, White",64674.55,764675
514,Bang Kruai,2007-10-14,"Shrimp, Dried, Small / Lb",-89435.5,-203216
515,Liuge,1922-09-25,Pastry - French Mini Assorted,91731.35,-398060
516,Novo,2015-10-12,"Fish - Soup Base, Bouillon",-91447.34,289345
517,Kim Sơn,1915-01-11,Wine - Muscadet Sur Lie,-97608.64,-611282
518,Kawm Ḩamādah,1963-11-22,Milk - Buttermilk,-55377.65,-777855
519,Loutrós,1975-11-18,Emulsifier,41292.24,-862921
520,Castlebellingham,1968-03-03,"Tart Shells - Savory, 2",24135.93,-990493
521,Ermelo,1922-01-08,Flax Seed,97845.18,425018
522,Mehtar Lām,1954-03-18,Bread - Italian Sesame Poly,69474.54,560788
523,Krajan Tanjungrejo,1908-05-13,Hog / Sausage Casing - Pork,68854.35,292020
524,Uddevalla,1972-03-22,Oil - Sesame,-19029.41,969801
525,Hoboksar,1903-08-26,Ostrich - Prime Cut,91287.82,437878
526,Shiren,2003-07-03,Beef - Bresaola,-68766.35,-209732
527,Cannes,1912-11-04,Sunflower Seed Raw,78141.1,-68289
528,Yanghou,2001-04-04,Soup Bowl Clear 8oz92008,5179.86,-118315
529,Coquitlam,1960-01-10,Olives - Stuffed,-23598.81,477137
530,Kinsealy-Drinan,1922-08-10,Longan,59431.66,-339963
531,Birni N Konni,1927-01-20,"Coffee - Beans, Whole",64492.57,-903284
532,Vicente Guerrero,1913-08-02,Oil - Cooking Spray,-6555.57,-534000
533,Dangshun,1954-02-27,Coffee - French Vanilla Frothy,-52955.78,358296
534,Jingning Chengguanzhen,1950-08-25,Cardamon Ground,60323.86,-883482
535,Longqiao,2003-06-14,Cookie Dough - Oatmeal Rasin,-68643.02,452563
536,Negombo,1966-11-18,Bacardi Breezer - Strawberry,-26386.85,-533154
537,Castelo,1991-04-14,Peach - Halves,80493.1,-841932
538,Spétses,1992-08-03,Red Currants,-85773.07,-485005
539,Songqiao,1933-10-21,Beef Wellington,26919.92,-927066
540,San Juan de Planes,1913-12-31,"Turnip - White, Organic",-68836.09,-766689
541,Kansas City,1981-09-05,Wine - Toasted Head,37957.85,164001
542,Bum Bum,1975-07-06,Wine - Tio Pepe Sherry Fino,-44672.24,41058
543,Bluefields,1931-12-23,Lime Cordial - Roses,16109.3,109592
544,San Antonio Huista,1962-07-30,Soup - Base Broth Beef,70578.34,-55211
545,Gedongmulyo,1998-04-05,"Fish - Atlantic Salmon, Cold",-831.07,-980234
546,Somdet,1944-09-03,Numi - Assorted Teas,55519.93,-708521
547,Otrokovice,1953-10-16,Spice - Peppercorn Melange,54012.27,84494
548,Dampek,1912-01-07,"Juice - Cranberry, 341 Ml",49209.87,-322031
549,Chocope,1966-07-26,Jello - Assorted,79863.47,854800
550,Luocun,1949-02-08,Wine - Maipo Valle Cabernet,-69588.33,-300710
551,Skellefteå,1956-09-20,"Water - Spring Water, 355 Ml",88266.11,-307724
552,Mayakovski,2005-07-06,"Water, Tap",58253.13,447781
553,Azteca,1908-10-25,Pear - Asian,-98704.34,-150238
554,Pambuhan,1967-12-12,Fish - Bones,-47882.01,-385940
555,Baluk,2019-11-23,Yokaline,-22315.33,173596
556,Potrerillos,1907-10-02,"Onions - Dried, Chopped",9120.77,307606
557,Chornoliztsi,2010-04-05,Ham - Virginia,34222.86,647781
558,Bilbays,1942-10-12,Goat - Whole Cut,4665.87,-540505
559,Zijin,2002-02-25,Country Roll,40383.83,275752
560,Yunxi,1963-06-29,Cookie Trail Mix,14292.01,2259
561,Al Jumaylīyah,1970-12-15,Veal - Nuckle,-13247.86,850400
562,Miraflores,1989-03-10,Cake - Box Window 10x10x2.5,73832.97,496435
563,Khvorostyanka,1950-06-06,"Tart Shells - Sweet, 3",62512.36,689555
564,Karaidel’,1922-05-14,Cactus Pads,-57399.79,853376
565,Volovo,1912-10-08,Wine - Sake,34317.43,-20755
566,Loughrea,1928-04-10,Butter Balls Salted,56501.16,-420952
567,Jiangpan,1922-01-18,Longos - Penne With Pesto,68797.36,495605
568,Conchopata,1964-10-09,Beer - Heinekin,56359.6,-305633
569,Bella Vista,1914-06-28,Sprouts - Bean,-82400.78,570947
570,Huitán,1977-12-14,Seaweed Green Sheets,27032.25,29393
571,Ettelbruck,1953-10-13,Lotus Rootlets - Canned,30932.11,-88207
572,Mascouche,1961-11-15,Five Alive Citrus,689.99,948073
573,Xia Dawo,1941-10-05,"Plate - Foam, Bread And Butter",51162.69,-748165
574,Shengli,1962-09-16,Yoghurt Tubes,62544.88,-84266
575,Voskresenskoye,1919-11-07,"Wine - White, Cooking",38770.65,305033
576,Datangzhuang,1940-08-22,"Pasta - Cappellini, Dry",91080.93,-207910
577,Lamarosa,1948-02-28,"Veal - Tenderloin, Untrimmed",56591.37,644150
578,Mulan,1927-06-11,"Nut - Almond, Blanched, Ground",-14112.89,-458635
579,Mertani,1954-05-25,"Crush - Grape, 355 Ml",-29324.47,610281
580,Cilimus Kulon,2016-05-26,Bag Stand,35317.45,9666
581,Kubangkondanglapangan,1933-04-09,Praline Paste,-86493.64,662998
582,Strasbourg,2018-09-22,Table Cloth 53x69 White,-55662.31,308930
583,Fundão,1938-08-07,Dc Hikiage Hira Huba,-55166.92,549384
584,Navan,1966-12-29,Chickhen - Chicken Phyllo,807.5,-790434
585,Labuhankananga,1991-12-09,Squash - Guords,53463.25,409587
586,Gereneng,2007-10-04,Squash - Guords,92529.64,-8041
587,Shuangfeng,1934-12-07,Beef Striploin Aaa,24059.22,683784
588,Fengyi,1967-05-11,Potatoes - Idaho 100 Count,-69342.89,813139
589,Buenavista,1951-03-26,Monkfish Fresh - Skin Off,-476.75,-558866
590,Izingolweni,1925-05-12,Cleaner - Bleach,98561.69,884706
591,Pleasant Point,1998-10-28,"Lemonade - Kiwi, 591 Ml",-98206.82,-709481
592,Makiv,1947-02-20,Truffle Paste,-19271.6,834528
593,Malawa,1924-12-22,Raisin - Dark,-62527.21,337488
594,Bueng Kan,1976-11-11,"Wine - White, Chardonnay",-33518.14,677582
595,Granada,1959-08-03,Anchovy Fillets,-38827.22,-698102
596,Yanglin,1958-01-02,Carbonated Water - Cherry,18255.21,-179740
597,Muravlenko,1970-08-16,"Cheese - Mozzarella, Shredded",76974.17,16606
598,Pukou,2002-11-11,Flour - Fast / Rapid,-64430.22,-55854
599,Pankrushikha,1944-12-09,"Nut - Cashews, Whole, Raw",68473.05,526626
600,Robatal,1979-08-08,Island Oasis - Pina Colada,-15229.82,336732
601,Puchong,1906-04-03,Ecolab - Hobart Washarm End Cap,47057.51,996904
602,Árgos,1970-01-09,Muffin Carrot - Individual,46259.22,-795081
603,Chernyshkovskiy,1991-08-31,Miso - Soy Bean Paste,81674.68,-966563
604,Johnson City,1943-06-19,Sesame Seed,12358.98,-603361
605,Jinchang,1931-04-05,Puree - Strawberry,-79778.77,-748960
606,Waipawa,1963-09-13,Pumpkin,-75006.89,-45234
607,Mỹ Xuyên,2003-02-23,Mace Ground,44893.31,-47810
608,Jinhua,1936-04-07,Rabbit - Frozen,-83835.23,60279
609,Sembungan Kidul,1928-01-10,Wine - Muscadet Sur Lie,19016.96,-575242
610,Simões Filho,1928-08-07,"Seedlings - Mix, Organic",-79690.78,-797864
611,Gabès,1960-10-30,Mix - Cocktail Ice Cream,82025.61,990746
612,Maunggora,1949-12-09,Cup - 8oz Coffee Perforated,-41882.98,-165493
613,Gbadolite,1971-08-20,Pork Ham Prager,-88821.57,437802
614,Huoshaoping,2020-06-06,Nantucket - Carrot Orange,33650.68,929954
615,Ježdovec,1922-02-27,"Pasta - Lasagne, Fresh",32139.36,-516852
616,Casais de Revelhos,1925-12-18,Beer - Camerons Cream Ale,-37773.39,-997380
617,Dalkey,1981-09-11,Pasta - Cheese / Spinach Bauletti,86705.05,-64558
618,Sélestat,1929-07-15,Lobster - Tail 6 Oz,43763.45,-942881
619,Ülken,1976-01-05,Cheese - Brie,48133.14,169369
620,Caijiagang,1963-06-03,Mushrooms - Honey,-95714.6,881002
621,San Francisco,2005-01-30,Cheese - Colby,-6213.15,397861
622,Cishan,1918-08-12,Onions - Pearl,-33935.12,874701
623,Huddinge,1911-05-31,"Veal - Inside Round / Top, Lean",-5765.07,145447
624,Valvedditturai,1993-01-27,"Cheese - Brie, Cups 125g",-66774.48,-193149
625,Shiyuan,1994-07-27,Lamb - Shoulder,-63797.69,-481114
626,Emiliano Zapata,1988-08-05,Soup Campbells - Italian Wedding,-46446.44,663493
627,Tegalalang,2001-08-26,"Sprite, Diet - 355ml",58377.44,-524089
628,Ampanihy,1907-04-01,Sea Bass - Whole,-11723.67,264091
629,Corpus Christi,1919-01-01,Foil - 4oz Custard Cup,32251.82,970815
630,Bendilwungu Lor,1926-08-15,Flour - Bread,66513.96,-266282
631,Leopoldina,1961-01-23,Sea Bass - Fillets,-9148.56,-57777
632,Xiwei,1926-10-20,Sprouts - Pea,-14873.47,987805
633,Huangnan,1980-10-27,Versatainer Nc - 8288,54336.11,602330
634,Hisor,1931-08-09,Wine - Muscadet Sur Lie,-91265.93,850358
635,Monastyrishche,1950-09-24,"Tart Shells - Savory, 3",-42372.57,-474056
636,Macroom,1965-05-19,Chips - Doritos,70535.79,722488
637,Dasi,1903-01-15,Truffle Cups - White Paper,-43807.15,235633
638,Emmaboda,1975-05-20,"Wine - White, Chardonnay",-62527.62,742797
639,Guixi,1942-06-09,Pastry - Chocolate Chip Muffin,87332.38,969957
640,Lage,1910-04-17,Table Cloth 81x81 White,-93252.94,-743127
641,Plymouth,1917-07-10,Hold Up Tool Storage Rack,27966.21,-917061
642,Sōja,2016-10-10,Apple - Royal Gala,-77221.33,-760618
643,Biliri,1943-09-05,Lighter - Bbq,-46070.87,-796103
644,Besuki,1939-07-06,"Beef - Rib Roast, Cap On",-91951.85,-302678
645,Changhan,1944-03-15,Wine - German Riesling,-56070.87,588560
646,Tabiauan,1931-09-07,Beer - Upper Canada Light,63269.41,-167604
647,Uhlove,1975-09-16,Oranges,45946.72,443864
648,Zhanaozen,1918-10-27,Island Oasis - Banana Daiquiri,-64939.78,668599
649,Thành Phố Bà Rịa,1983-03-03,Sea Bass - Fillets,-67550.01,-140756
650,Tánh Linh,1972-09-14,"Capon - Breast, Double, Wing On",-62770.12,391928
651,Hōjō,1992-11-27,"Wine - Niagara,vqa Reisling",-65110.73,-880132
652,Taldyqorghan,2020-01-22,Heavy Duty Dust Pan,-13829.61,76678
653,Wenshang,1972-12-23,"Chilli Paste, Sambal Oelek",-1856.88,-348053
654,Chiquimulilla,1955-05-09,Carrots - Mini Red Organic,59039.75,-659227
655,Mombaça,2013-10-27,"Soup - Clam Chowder, Dry Mix",-47212.89,-61760
656,Chengnan,1959-01-05,Mace Ground,89787.95,-660376
657,Julun,1923-02-06,Wine - White Cab Sauv.on,-33275.85,125832
658,Malešići,1910-12-23,"Chicken - Wings, Tip Off",89861.37,-280529
659,Bouca,1987-01-31,Tuna - Fresh,-24215.23,54101
660,Charleroi,2002-01-05,Appetizer - Asian Shrimp Roll,62223.27,47961
661,Gongjiang,1969-06-22,Cake - Dulce De Leche,-76391.31,-615236
662,Wailebe,2008-11-01,Flower - Potmums,65162.35,470537
663,New Shagunnu,2008-12-11,Mushroom - Morel Frozen,25736.1,-901352
664,Berthierville,1980-11-16,Wine - Two Oceans Sauvignon,-6094.0,663695
665,Pacapausa,1930-06-22,Chickhen - Chicken Phyllo,-22189.88,212104
666,Krajandadapmulyo,1912-12-03,Wine - Jafflin Bourgongone,-73818.7,23324
667,Itaitinga,1987-01-09,Corn Syrup,88292.07,-558942
668,Córdoba,1917-07-11,Nantucket Apple Juice,-84706.13,154266
669,San Antonio,1910-07-25,Olives - Kalamata,12709.46,617871
670,Mavingouni,1955-09-25,Juice - Ocean Spray Kiwi,50573.33,916214
671,Bisée,1925-09-21,Lamb - Loin Chops,-61637.92,559090
672,Sandao,1951-12-13,"Wine - Red, Harrow Estates, Cab",-90579.3,113561
673,La Guata,2004-08-28,Lid Tray - 16in Dome,-95170.1,-142117
674,Fangzheng,1966-08-13,"Cheese - Brie, Cups 125g",26914.99,970992
675,Chamlykskaya,1901-03-17,Oil - Olive,81261.82,-835684
676,Kítsi,2000-01-21,"Basil - Dry, Rubbed",25506.79,599946
677,Idi Iroko,1981-03-06,Cheese - Asiago,-64266.72,413884
678,Piketberg,1940-02-21,Ecolab Digiclean Mild Fm,-67460.49,-787089
679,Tulaghi,1971-08-16,Wine - Cabernet Sauvignon,89974.54,269692
680,Xingdian,1936-06-28,Langers - Ruby Red Grapfruit,28332.61,-884863
681,Kisesa,2012-07-18,Nut - Pumpkin Seeds,25394.38,-689809
682,Pakokku,1954-08-08,"Beans - Kidney, Canned",49138.03,385697
683,Bogovarovo,1905-12-18,"Pasta - Spaghetti, Dry",-96864.05,-857049
684,Ḩadīdah,1993-04-01,Coffee - Espresso,30551.84,-779714
685,Macau,1963-07-29,Tea - Green,48304.34,-219530
686,Jatirejo,1945-04-27,Cups 10oz Trans,29819.75,134114
687,Tarnogskiy Gorodok,2015-02-01,Mace Ground,-75004.89,-680607
688,Saint-Jean-de-Braye,1988-08-06,Fish - Bones,20174.21,102775
689,Pajapita,1986-10-23,Lamb - Loin Chops,-9052.91,433348
690,Balong Wetan,1947-02-01,"Lobster - Tail, 3 - 4 Oz",43745.67,272636
691,Néa Péramos,1953-04-14,Chick Peas - Dried,-93048.34,-893301
692,Peremyshl’,1993-04-12,V8 Pet,169.81,-791837
693,Staroderevyankovskaya,1989-02-05,"Chilli Paste, Ginger Garlic",-83363.46,-186004
694,Chaupimarca,1947-05-10,Scallop - St. Jaques,14339.99,33576
695,Marbel,1938-02-09,Yogurt - French Vanilla,-61806.16,683105
696,Torslanda,1963-11-13,Cabbage - Savoy,57330.75,496120
697,Llorente,2007-12-27,Cake - Pancake,-81038.17,406134
698,San Pedro Carchá,1965-08-21,Garlic - Elephant,67070.15,338726
699,Ashcroft,2011-04-01,Lamb Shoulder Boneless Nz,42443.93,488545
700,Mel’nikovo,1928-02-13,"Wine - Red, Mouton Cadet",83185.35,-721116
701,Bronx,1916-03-26,Muskox - French Rack,48071.01,250620
702,Jefferson City,2004-02-27,Sunflower Seed Raw,99355.95,-920834
703,Dolní Bečva,2015-09-12,Fennel - Seeds,77336.74,-168423
704,Lukou,1983-03-20,Shrimp - Black Tiger 26/30,-13772.69,459045
705,Rowotengah,1930-03-02,Sprouts - Alfalfa,21702.83,-950615
706,Anyuan,1949-07-19,"Lemonade - Natural, 591 Ml",91034.5,-279869
707,Las Junturas,2005-08-19,Sambuca Cream,42687.95,-214657
708,Shahkot,1982-11-21,Pickle - Dill,7503.83,987995
709,Ryazan’,1929-07-19,"Iced Tea - Lemon, 460 Ml",-63448.32,94338
710,Balung,1988-01-22,"Tomatoes - Diced, Canned",-61478.65,336241
711,Ketanggi,1908-11-10,"Mushroom - Chantrelle, Fresh",-7736.96,-112360
712,Huifa,2013-02-11,Lid Tray - 12in Dome,37154.23,-246181
713,Esperantina,2019-07-30,Silicone Paper 16.5x24,77079.98,-156981
714,Zhvanets,1969-05-29,Tea - Jasmin Green,-17077.89,-9332
715,Bucu Kidul,1910-10-01,Wine - Gewurztraminer Pierre,9465.75,781711
716,Antas,2019-12-24,Creme De Cacao White,96100.3,-187162
717,Miaoli,1939-03-07,Beef - Tenderloin,53064.96,667277
718,Kvasy,1981-06-23,Wine - Champagne Brut Veuve,-3508.59,-676780
719,Sanhe,1910-05-15,"Cheese - Romano, Grated",-46151.29,302952
720,Silago,1924-01-18,"Rum - Coconut, Malibu",-98391.14,-462793
721,Sada,1981-05-21,Eggplant - Baby,51930.37,455977
722,Trenton,1944-01-30,Kippers - Smoked,54800.87,-997223
723,Trpinja,1907-12-15,Wine - Pinot Noir Stoneleigh,-9183.88,690183
724,Mugi,1990-11-29,"Bread - Multigrain, Loaf",96804.0,-219649
725,Pag,1943-07-18,Pail For Lid 1537,68085.83,-121860
726,Mintang,1971-12-31,Pear - Prickly,52776.63,77015
727,Vân Tùng,1923-05-08,Tarragon - Fresh,15395.5,-59017
728,Rawaapu,1913-05-08,Wild Boar - Tenderloin,25873.12,800831
729,Cumanacoa,1918-09-17,Calypso - Strawberry Lemonade,-2375.44,-497370
730,Richky,1996-11-06,Anchovy Paste - 56 G Tube,22396.01,112694
731,Bongao,1928-10-01,Wine - Magnotta - Belpaese,-69504.23,-555515
732,Gornji Petrovci,1959-02-28,Cookies - Englishbay Oatmeal,-12028.12,-727173
733,Brescia,1949-07-12,"Veal - Inside, Choice",90654.39,48858
734,Ebak,2003-11-17,Puree - Raspberry,53403.28,-496248
735,Kenzhe,2010-03-01,Guinea Fowl,-62415.97,724045
736,Kuwayris Sharqī,2009-08-26,Cookies - Amaretto,-65849.19,-972218
737,Dongbatu,2020-12-03,"Soup - Campbells, Beef Barley",-53203.74,332907
738,Bergen,1979-07-09,Flavouring - Raspberry,6422.82,-476445
739,Winnica,1907-01-01,"Beets - Candy Cane, Organic",-85277.29,-466551
740,Rybnik,1919-04-28,"Mushroom - Shitake, Dry",-40948.31,357575
